Date,Open,High,Low,Close,Volume
10/01/2019 05:00:00,1.1244,1.1248,1.1242,1.1243,3926
10/01/2019 06:00:00,1.1243,1.1254,1.1238,1.1252,17018
10/01/2019 07:00:00,1.1252,1.1257,1.1246,1.1251,20493
10/01/2019 08:00:00,1.1252,1.1255,1.1247,1.125,19120
10/01/2019 09:00:00,1.125,1.1261,1.1246,1.1253,13362
10/01/2019 10:00:00,1.1254,1.1264,1.1254,1.1264,12015
10/01/2019 11:00:00,1.1264,1.1273,1.1263,1.1272,12264
10/01/2019 12:00:00,1.1272,1.1286,1.1272,1.128,17559
10/01/2019 13:00:00,1.128,1.1295,1.128,1.1291,20348
10/01/2019 14:00:00,1.1291,1.1302,1.1289,1.1295,22382
10/01/2019 15:00:00,1.1295,1.1309,1.1293,1.1308,13001
10/01/2019 16:00:00,1.1308,1.1309,1.1299,1.1309,13960
10/01/2019 17:00:00,1.1309,1.1311,1.1303,1.1311,14436
10/01/2019 18:00:00,1.131,1.1318,1.131,1.1318,7033
10/01/2019 19:00:00,1.1318,1.1323,1.1316,1.1323,4918
10/01/2019 20:00:00,1.1323,1.1324,1.1321,1.1322,2570
10/01/2019 21:00:00,1.1322,1.1322,1.1312,1.1315,5574
10/01/2019 22:00:00,1.1314,1.1324,1.1314,1.1323,4803
10/01/2019 23:00:00,1.1324,1.1329,1.1323,1.1323,4967
11/01/2019 00:00:00,1.1324,1.1332,1.132,1.1329,3413
11/01/2019 01:00:00,1.1329,1.1333,1.1328,1.1332,2701
11/01/2019 02:00:00,1.1332,1.1335,1.133,1.1334,2197
11/01/2019 03:00:00,1.1334,1.1334,1.1328,1.1331,2962
11/01/2019 04:00:00,1.1331,1.1332,1.1327,1.1329,2832
11/01/2019 05:00:00,1.1328,1.1332,1.1327,1.1327,2741
11/01/2019 06:00:00,1.1327,1.1334,1.1319,1.1321,9065
11/01/2019 07:00:00,1.1321,1.1329,1.1321,1.1323,11351
11/01/2019 08:00:00,1.1323,1.1324,1.1309,1.1324,11754
11/01/2019 09:00:00,1.1324,1.133,1.132,1.1325,14643
11/01/2019 10:00:00,1.1325,1.134,1.1322,1.1337,12112
11/01/2019 11:00:00,1.1337,1.1339,1.1323,1.1326,9723
11/01/2019 12:00:00,1.1326,1.1327,1.1317,1.1319,13107
11/01/2019 13:00:00,1.1319,1.132,1.1292,1.1293,28822
11/01/2019 14:00:00,1.1293,1.1297,1.1279,1.1285,19787
11/01/2019 15:00:00,1.1285,1.1285,1.1273,1.1282,12553
11/01/2019 16:00:00,1.1282,1.1287,1.1278,1.1286,8349
11/01/2019 17:00:00,1.1286,1.129,1.1284,1.1288,5057
11/01/2019 18:00:00,1.1288,1.1288,1.1283,1.1284,3900
11/01/2019 19:00:00,1.1284,1.1287,1.1276,1.1276,6315
